225	93	12
237	122	53
242	111	28
211	87	21
223	124	28
233	138	34
245	205	82
245	81	40
190	73	21
244	93	17
254	76	8
214	104	67
253	104	18
214	99	37
253	94	41
219	98	26
215	113	52
138	164	38
245	128	28
230	122	74
249	165	19
246	197	34
250	125	42
246	168	84
253	157	117
230	132	47
188	74	10
234	133	36
254	77	4
237	137	32
223	134	10
240	178	126
253	123	38
218	135	60
228	80	4
172	82	36
239	102	18
220	132	113
231	151	35
245	111	4
157	82	142
242	144	68
214	129	13
232	162	11
246	141	25
237	145	128
247	87	5
239	146	11
243	115	11
208	57	44
240	198	97
229	118	45
253	153	22
254	151	29
223	163	33
214	167	40
221	82	27
222	153	66
245	80	26
225	118	11
247	197	32
255	110	2
239	130	23
234	98	41
239	117	51
192	94	0
235	91	28
246	138	27
236	161	51
225	86	9
237	150	17
219	118	51
213	121	19
200	153	15
226	121	50
241	128	15
181	75	46
252	94	45
253	155	13
211	70	51
243	111	19
230	148	24
235	102	35
247	153	77
242	111	43
253	143	14
230	87	17
232	144	33
248	119	26
228	113	3
215	72	23
236	130	84
247	137	30
229	147	44
209	140	12
203	94	3
248	134	24
232	164	38
248	101	64
243	86	2
245	112	10
247	151	45
186	70	34
245	168	5
216	131	59
246	83	65
195	125	67
255	144	47
197	122	24
254	99	4
219	134	53
229	142	89
247	106	48
225	137	34
241	114	9
221	123	13
254	132	1
216	51	17
236	112	86
251	142	42
251	167	77
241	151	11
228	151	15
239	145	33
225	142	9
191	75	40
241	97	82
252	183	34
219	141	54
232	73	31
230	105	7
229	104	55
209	153	11
243	78	12
223	119	83
217	140	65
245	121	84
198	97	28
229	138	21
156	66	47
196	113	21
228	104	18
245	176	70
248	151	19
234	127	23
246	105	26
232	122	51
242	128	7
244	169	8
255	74	17
230	90	29
244	200	5
243	66	26
220	123	50
230	134	23
225	162	85
232	125	66
219	195	53
252	153	8
238	73	50
235	65	5
184	97	47
204	120	14
249	98	14
235	173	15
250	103	65
247	122	33
209	164	24
249	88	38
238	96	9
240	141	23
225	114	11
234	156	43
211	81	14
243	137	70
241	71	8
202	73	23
203	128	8
242	141	25
254	110	11
227	166	25
252	110	23
250	183	51
249	146	25
204	58	4
255	200	118
209	103	62
239	99	22
244	153	10
194	61	27
201	124	52
209	85	29
226	125	102
208	161	38
232	170	13
232	75	1
200	130	93
208	64	3
225	142	33
254	97	51
180	53	20
231	172	5
249	74	31
223	101	72
228	129	13
180	103	20
235	108	18
227	122	95
252	94	36
245	141	46
208	81	25
242	156	46
242	197	127
224	161	118
241	99	28
253	100	29
205	66	16
239	112	105
190	95	73
224	114	19
182	109	79
228	69	6
211	85	27
234	106	18
189	121	72
210	156	31
207	173	118
253	155	53
245	158	50
242	138	46
239	165	33
196	141	9
232	61	8
245	132	85
214	91	81
236	162	44
247	134	13
237	141	53
235	123	19
231	145	68
245	88	28
226	122	65
249	139	77
191	129	36
249	183	19
254	169	21
178	60	8
223	88	30
241	156	54
204	115	30
242	116	62
209	129	49
186	66	22
218	102	39
224	113	1
193	95	35
171	144	33
184	186	1
199	38	16
254	73	25
220	141	52
235	98	19
228	80	14
247	103	9
248	105	16
226	150	30
221	143	20
223	93	56
248	87	61
218	74	34
227	75	29
251	130	0
248	125	19
229	142	74
251	131	16
207	136	44
173	191	13
251	169	121
221	99	24
211	99	1
204	79	21
243	104	57
179	122	11
214	153	42
216	134	17
252	164	103
213	97	7
199	116	5
186	138	49
241	159	55
251	112	7
248	144	52
239	98	38
241	86	90
226	99	38
231	169	57
200	175	61
203	121	68
238	127	12
241	160	82
240	129	63
240	181	109
228	134	69
253	156	80
213	160	75
226	136	1
176	175	5
232	102	48
225	142	45
246	159	80
249	140	20
228	126	11
224	89	34
240	160	30
243	157	64
240	168	22
245	111	25
255	80	66
234	116	4
255	151	18
220	113	9
241	92	8
244	157	0
240	156	9
254	140	26
232	134	31
249	207	26
251	104	45
248	182	88
253	85	42
236	82	42
247	172	24
201	131	35
217	94	16
230	115	43
253	177	77
249	130	36
187	88	29
213	134	34
231	123	8
243	150	38
249	128	79
248	140	51
239	170	23
229	133	46
225	92	1
233	73	0
201	102	82
249	55	1
235	113	21
206	118	59
254	182	56
252	97	2
234	100	15
241	135	67
214	107	71
201	112	2
231	95	3
180	110	50
240	172	14
245	163	24
229	158	64
198	124	56
220	110	58
255	106	38
241	158	31
239	98	59
211	159	68
247	151	32
234	158	4
211	113	40
242	120	33
250	116	24
47	245	12
192	102	7
229	125	26
213	132	34
246	107	18
235	143	13
215	164	116
242	138	53
206	94	8
242	115	39
248	164	42
229	127	18
168	118	14
142	126	39
221	166	38
239	115	21
240	178	72
249	103	16
192	121	32
213	120	0
218	179	6
197	145	33
243	122	2
181	125	84
238	109	51
190	111	24
252	160	25
241	158	58
251	131	28
234	172	70
248	94	85
216	118	48
251	163	89
245	95	9
230	158	6
218	120	5
224	141	47
178	97	3
216	149	30
234	121	25
187	68	11
231	156	3
241	97	6
232	121	4
227	119	39
209	93	13
255	56	9
193	139	17
230	78	42
208	141	53
235	63	12
215	134	31
241	140	76
179	93	12
247	153	8
248	88	34
249	95	53
227	106	22
247	144	20
210	128	8
211	122	21
228	137	64
199	105	0
218	90	17
244	145	24
224	175	31
205	89	28
235	150	102
230	115	28
224	134	60
217	129	1
220	105	52
244	127	42
227	153	13
221	137	36
213	126	12
224	93	24
243	125	20
232	124	53
241	153	77
250	190	93
224	110	25
244	146	89
200	143	83
241	181	16
217	146	36
243	146	39
223	84	30
229	138	3
244	63	9
244	149	37
244	96	15
232	160	61
240	92	71
229	82	14
226	107	32
251	79	13
249	165	19
227	142	109
238	91	56
201	110	3
240	192	22
240	151	9
239	102	23
242	100	44
228	160	40
214	151	63
192	109	47
242	114	68
230	64	9
223	59	41
254	183	85
229	112	61
233	181	8
245	131	25
242	114	42
202	97	30
230	162	69
242	107	40
238	108	14
253	140	21
231	143	33
228	129	51
255	182	29
229	146	53
223	123	59
207	48	24
